invoice_date,invoice_no,fy,month_no,account_code,account_name,city,salesman_code,salesman_name,sku,product_name,pack_size,cartons,litres,rate_per_carton,sales_amount
2022-04-13,GA/2022-23/00031,FY2022-23,4,ACC-027,Shree Gupta & Sons,Miranpur,SM04,Pankaj Verma,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-14,GA/2022-23/00032,FY2022-23,4,ACC-030,Laxmi Sharma Stores,Jansath,SM03,Amit Saini,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-14,GA/2022-23/00032,FY2022-23,4,ACC-030,Laxmi Sharma Stores,Jansath,SM03,Amit Saini,MSG-200-75,Madhusudan Ghee 200 ml,200 ml,1,15,8400,8400
2022-04-14,GA/2022-23/00033,FY2022-23,4,ACC-082,Shree Kaushik Enterprises,Charthawal,SM03,Amit Saini,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8250,8250
2022-04-15,GA/2022-23/00034,FY2022-23,4,ACC-006,Ganesh Jindal Dairy,Kairana,SM05,Deepak Rana,MSG-1L-15,Madhusudan Ghee 1 L,1 L,2,30,8100,16200
2022-04-15,GA/2022-23/00035,FY2022-23,4,ACC-032,Goyal Super Market,Deoband,SM05,Deepak Rana,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8250,8250
2022-04-15,GA/2022-23/00036,FY2022-23,4,ACC-081,Jai Kapoor Super Market,Charthawal,SM03,Amit Saini,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-15,GA/2022-23/00037,FY2022-23,4,ACC-142,Om Srivastava & Company,Kairana,SM05,Deepak Rana,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-16,GA/2022-23/00038,FY2022-23,4,ACC-058,Balaji Tandon & Company,Miranpur,SM04,Pankaj Verma,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8250,8250
2022-04-18,GA/2022-23/00039,FY2022-23,4,ACC-045,Jai Yadav Sales Corporation,Miranpur,SM04,Pankaj Verma,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-18,GA/2022-23/00039,FY2022-23,4,ACC-045,Jai Yadav Sales Corporation,Miranpur,SM04,Pankaj Verma,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8250,8250
2022-04-18,GA/2022-23/00040,FY2022-23,4,ACC-048,Maa Sharma Marketing,Budhana,SM02,Sunil Tyagi,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8250,8250
2022-04-18,GA/2022-23/00041,FY2022-23,4,ACC-054,Jai Goyal General Store,Miranpur,SM04,Pankaj Verma,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-18,GA/2022-23/00042,FY2022-23,4,ACC-063,Ganesh Kapoor Trading Co.,Charthawal,SM03,Amit Saini,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-18,GA/2022-23/00043,FY2022-23,4,ACC-125,Balaji Tandon Provisions,Khatauli,SM02,Sunil Tyagi,MSG-200-75,Madhusudan Ghee 200 ml,200 ml,1,15,8400,8400
2022-04-19,GA/2022-23/00044,FY2022-23,4,ACC-015,Wadhwa Super Market,Muzaffarnagar,SM01,Rakesh Kumar,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-19,GA/2022-23/00045,FY2022-23,4,ACC-065,Jai Garg Enterprises,Shamli,SM01,Rakesh Kumar,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-20,GA/2022-23/00046,FY2022-23,4,ACC-038,Krishna Saxena Provisions,Miranpur,SM04,Pankaj Verma,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-20,GA/2022-23/00047,FY2022-23,4,ACC-136,Shree Khandelwal Distributors,Jansath,SM03,Amit Saini,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-21,GA/2022-23/00048,FY2022-23,4,ACC-001,Om Dubey Super Market,Muzaffarnagar,SM01,Rakesh Kumar,MSG-1L-15,Madhusudan Ghee 1 L,1 L,2,30,8100,16200
2022-04-21,GA/2022-23/00048,FY2022-23,4,ACC-001,Om Dubey Super Market,Muzaffarnagar,SM01,Rakesh Kumar,MSG-200-75,Madhusudan Ghee 200 ml,200 ml,1,15,8400,8400
2022-04-21,GA/2022-23/00049,FY2022-23,4,ACC-019,Mishra Agencies,Muzaffarnagar,SM01,Rakesh Kumar,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,2,30,8250,16500
2022-04-21,GA/2022-23/00050,FY2022-23,4,ACC-033,Balaji Singhal Stores,Deoband,SM05,Deepak Rana,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8250,8250
2022-04-21,GA/2022-23/00051,FY2022-23,4,ACC-072,Verma Agencies,Khatauli,SM02,Sunil Tyagi,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-22,GA/2022-23/00052,FY2022-23,4,ACC-009,Krishna Srivastava Agencies,Kairana,SM05,Deepak Rana,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-22,GA/2022-23/00053,FY2022-23,4,ACC-130,Maa Nagpal & Company,Deoband,SM05,Deepak Rana,MSG-200-75,Madhusudan Ghee 200 ml,200 ml,1,15,8400,8400
2022-04-23,GA/2022-23/00054,FY2022-23,4,ACC-003,Krishna Khurana Provisions,Budhana,SM02,Sunil Tyagi,MSG-1L-15,Madhusudan Ghee 1 L,1 L,2,30,8100,16200
2022-04-25,GA/2022-23/00055,FY2022-23,4,ACC-011,New Maheshwari Super Market,Kairana,SM05,Deepak Rana,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8250,8250
2022-04-25,GA/2022-23/00056,FY2022-23,4,ACC-013,Krishna Sachdeva Enterprises,Khatauli,SM02,Sunil Tyagi,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-25,GA/2022-23/00057,FY2022-23,4,ACC-016,Ganesh Bhardwaj Trading Co.,Budhana,SM02,Sunil Tyagi,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-26,GA/2022-23/00058,FY2022-23,4,ACC-012,Bhardwaj Dairy,Charthawal,SM03,Amit Saini,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8250,8250
2022-04-26,GA/2022-23/00059,FY2022-23,4,ACC-022,Tandon & Company,Kairana,SM05,Deepak Rana,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-26,GA/2022-23/00059,FY2022-23,4,ACC-022,Tandon & Company,Kairana,SM05,Deepak Rana,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8250,8250
2022-04-27,GA/2022-23/00060,FY2022-23,4,ACC-029,Balaji Rana Agencies,Khatauli,SM02,Sunil Tyagi,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-28,GA/2022-23/00061,FY2022-23,4,ACC-025,Om Chaudhary Agencies,Budhana,SM02,Sunil Tyagi,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-28,GA/2022-23/00062,FY2022-23,4,ACC-039,New Chopra Dairy,Deoband,SM05,Deepak Rana,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8250,8250
2022-04-28,GA/2022-23/00063,FY2022-23,4,ACC-103,Wadhwa Enterprises,Budhana,SM02,Sunil Tyagi,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-28,GA/2022-23/00063,FY2022-23,4,ACC-103,Wadhwa Enterprises,Budhana,SM02,Sunil Tyagi,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,2,30,8250,16500
2022-04-29,GA/2022-23/00064,FY2022-23,4,ACC-046,New Kapoor Traders,Kairana,SM05,Deepak Rana,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8250,8250
2022-04-29,GA/2022-23/00065,FY2022-23,4,ACC-049,Goyal General Store,Muzaffarnagar,SM01,Rakesh Kumar,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-29,GA/2022-23/00066,FY2022-23,4,ACC-120,Ganesh Kansal Provisions,Muzaffarnagar,SM01,Rakesh Kumar,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8250,8250
2022-04-29,GA/2022-23/00067,FY2022-23,4,ACC-138,Ganesh Gupta Trading Co.,Muzaffarnagar,SM01,Rakesh Kumar,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-30,GA/2022-23/00068,FY2022-23,4,ACC-105,Maa Singhal Enterprises,Miranpur,SM04,Pankaj Verma,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8100,8100
2022-04-30,GA/2022-23/00069,FY2022-23,4,ACC-132,Shri Bhardwaj Sales Corporation,Miranpur,SM04,Pankaj Verma,MSG-1L-15,Madhusudan Ghee 1 L,1 L,2,30,8100,16200
2022-04-30,GA/2022-23/00069,FY2022-23,4,ACC-132,Shri Bhardwaj Sales Corporation,Miranpur,SM04,Pankaj Verma,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8250,8250
2022-05-02,GA/2022-23/00070,FY2022-23,5,ACC-008,Shree Maheshwari Enterprises,Shamli,SM01,Rakesh Kumar,MSG-1L-15,Madhusudan Ghee 1 L,1 L,2,30,8150,16300
2022-05-02,GA/2022-23/00071,FY2022-23,5,ACC-045,Jai Yadav Sales Corporation,Miranpur,SM04,Pankaj Verma,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8150,8150
2022-05-02,GA/2022-23/00072,FY2022-23,5,ACC-046,New Kapoor Traders,Kairana,SM05,Deepak Rana,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8300,8300
2022-05-02,GA/2022-23/00073,FY2022-23,5,ACC-133,New Singla Stores,Shamli,SM01,Rakesh Kumar,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8300,8300
2022-05-03,GA/2022-23/00074,FY2022-23,5,ACC-017,Maa Malik Enterprises,Kairana,SM05,Deepak Rana,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8150,8150
2022-05-03,GA/2022-23/00074,FY2022-23,5,ACC-017,Maa Malik Enterprises,Kairana,SM05,Deepak Rana,MSG-200-75,Madhusudan Ghee 200 ml,200 ml,1,15,8450,8450
2022-05-03,GA/2022-23/00075,FY2022-23,5,ACC-088,Krishna Khurana Sales Corporation,Charthawal,SM03,Amit Saini,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,2,30,8300,16600
2022-05-03,GA/2022-23/00076,FY2022-23,5,ACC-128,Shree Saxena General Store,Deoband,SM05,Deepak Rana,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8150,8150
2022-05-04,GA/2022-23/00077,FY2022-23,5,ACC-090,Malik Stores,Miranpur,SM04,Pankaj Verma,MSG-200-75,Madhusudan Ghee 200 ml,200 ml,1,15,8450,8450
2022-05-05,GA/2022-23/00078,FY2022-23,5,ACC-109,Laxmi Goel Traders,Purqazi,SM04,Pankaj Verma,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8150,8150
2022-05-06,GA/2022-23/00079,FY2022-23,5,ACC-016,Ganesh Bhardwaj Trading Co.,Budhana,SM02,Sunil Tyagi,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8150,8150
2022-05-06,GA/2022-23/00080,FY2022-23,5,ACC-106,Shree Ahuja & Company,Khatauli,SM02,Sunil Tyagi,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8150,8150
2022-05-06,GA/2022-23/00081,FY2022-23,5,ACC-108,New Ahuja Distributors,Deoband,SM05,Deepak Rana,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8150,8150
2022-05-07,GA/2022-23/00082,FY2022-23,5,ACC-006,Ganesh Jindal Dairy,Kairana,SM05,Deepak Rana,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8150,8150
2022-05-07,GA/2022-23/00082,FY2022-23,5,ACC-006,Ganesh Jindal Dairy,Kairana,SM05,Deepak Rana,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8300,8300
2022-05-07,GA/2022-23/00083,FY2022-23,5,ACC-058,Balaji Tandon & Company,Miranpur,SM04,Pankaj Verma,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8150,8150
2022-05-07,GA/2022-23/00084,FY2022-23,5,ACC-081,Jai Kapoor Super Market,Charthawal,SM03,Amit Saini,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8300,8300
2022-05-09,GA/2022-23/00085,FY2022-23,5,ACC-032,Goyal Super Market,Deoband,SM05,Deepak Rana,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8150,8150
2022-05-09,GA/2022-23/00085,FY2022-23,5,ACC-032,Goyal Super Market,Deoband,SM05,Deepak Rana,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8300,8300
2022-05-09,GA/2022-23/00086,FY2022-23,5,ACC-098,Balaji Rana Distributors,Shamli,SM01,Rakesh Kumar,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8150,8150
2022-05-09,GA/2022-23/00087,FY2022-23,5,ACC-105,Maa Singhal Enterprises,Miranpur,SM04,Pankaj Verma,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8150,8150
2022-05-10,GA/2022-23/00088,FY2022-23,5,ACC-042,Maa Sachdeva Agencies,Charthawal,SM03,Amit Saini,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8150,8150
2022-05-10,GA/2022-23/00089,FY2022-23,5,ACC-062,Dubey General Store,Khatauli,SM02,Sunil Tyagi,MSG-1L-15,Madhusudan Ghee 1 L,1 L,2,30,8150,16300
2022-05-11,GA/2022-23/00090,FY2022-23,5,ACC-019,Mishra Agencies,Muzaffarnagar,SM01,Rakesh Kumar,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8150,8150
2022-05-11,GA/2022-23/00090,FY2022-23,5,ACC-019,Mishra Agencies,Muzaffarnagar,SM01,Rakesh Kumar,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8300,8300
2022-05-12,GA/2022-23/00091,FY2022-23,5,ACC-005,Malhotra Dairy,Kairana,SM05,Deepak Rana,MSG-1L-15,Madhusudan Ghee 1 L,1 L,2,30,8150,16300
2022-05-12,GA/2022-23/00092,FY2022-23,5,ACC-072,Verma Agencies,Khatauli,SM02,Sunil Tyagi,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8150,8150
2022-05-13,GA/2022-23/00093,FY2022-23,5,ACC-018,Krishna Sharma Enterprises,Kairana,SM05,Deepak Rana,MSG-1L-15,Madhusudan Ghee 1 L,1 L,2,30,8150,16300
2022-05-13,GA/2022-23/00094,FY2022-23,5,ACC-135,Agarwal Traders,Khatauli,SM02,Sunil Tyagi,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8300,8300
2022-05-14,GA/2022-23/00095,FY2022-23,5,ACC-021,Shri Tandon Stores,Muzaffarnagar,SM01,Rakesh Kumar,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8150,8150
2022-05-16,GA/2022-23/00096,FY2022-23,5,ACC-003,Krishna Khurana Provisions,Budhana,SM02,Sunil Tyagi,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8150,8150
2022-05-16,GA/2022-23/00096,FY2022-23,5,ACC-003,Krishna Khurana Provisions,Budhana,SM02,Sunil Tyagi,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8300,8300
2022-05-16,GA/2022-23/00097,FY2022-23,5,ACC-038,Krishna Saxena Provisions,Miranpur,SM04,Pankaj Verma,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8150,8150
2022-05-16,GA/2022-23/00098,FY2022-23,5,ACC-044,Mittal Marketing,Khatauli,SM02,Sunil Tyagi,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8150,8150
2022-05-16,GA/2022-23/00099,FY2022-23,5,ACC-083,Maa Goel & Sons,Miranpur,SM04,Pankaj Verma,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8300,8300
2022-05-16,GA/2022-23/00100,FY2022-23,5,ACC-134,Jai Wadhwa Sales Corporation,Kairana,SM05,Deepak Rana,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8150,8150
2022-05-17,GA/2022-23/00101,FY2022-23,5,ACC-010,Shree Mishra Provisions,Muzaffarnagar,SM01,Rakesh Kumar,MSG-1L-15,Madhusudan Ghee 1 L,1 L,2,30,8150,16300
2022-05-17,GA/2022-23/00102,FY2022-23,5,ACC-022,Tandon & Company,Kairana,SM05,Deepak Rana,MSG-200-75,Madhusudan Ghee 200 ml,200 ml,1,15,8450,8450
2022-05-17,GA/2022-23/00103,FY2022-23,5,ACC-091,Krishna Chaudhary Agencies,Kairana,SM05,Deepak Rana,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8150,8150
2022-05-17,GA/2022-23/00104,FY2022-23,5,ACC-119,Solanki Dairy,Deoband,SM05,Deepak Rana,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8150,8150
2022-05-18,GA/2022-23/00105,FY2022-23,5,ACC-001,Om Dubey Super Market,Muzaffarnagar,SM01,Rakesh Kumar,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,2,30,8300,16600
2022-05-18,GA/2022-23/00106,FY2022-23,5,ACC-014,Maa Chopra Kirana Store,Khatauli,SM02,Sunil Tyagi,MSG-200-75,Madhusudan Ghee 200 ml,200 ml,1,15,8450,8450
2022-05-18,GA/2022-23/00107,FY2022-23,5,ACC-047,Khurana Distributors,Jansath,SM03,Amit Saini,MSG-1L-15,Madhusudan Ghee 1 L,1 L,2,30,8150,16300
2022-05-18,GA/2022-23/00108,FY2022-23,5,ACC-049,Goyal General Store,Muzaffarnagar,SM01,Rakesh Kumar,MSG-1L-15,Madhusudan Ghee 1 L,1 L,2,30,8150,16300
2022-05-18,GA/2022-23/00109,FY2022-23,5,ACC-097,New Mishra Distributors,Deoband,SM05,Deepak Rana,MSG-1L-15,Madhusudan Ghee 1 L,1 L,2,30,8150,16300
2022-05-19,GA/2022-23/00110,FY2022-23,5,ACC-112,Om Goyal Kirana Store,Muzaffarnagar,SM01,Rakesh Kumar,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8150,8150
2022-05-20,GA/2022-23/00111,FY2022-23,5,ACC-001,Om Dubey Super Market,Muzaffarnagar,SM01,Rakesh Kumar,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,3,45,8300,24900
2022-05-23,GA/2022-23/00112,FY2022-23,5,ACC-002,New Dubey Marketing,Kairana,SM05,Deepak Rana,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,2,30,8300,16600
2022-05-23,GA/2022-23/00113,FY2022-23,5,ACC-007,Om Pandey Distributors,Purqazi,SM04,Pankaj Verma,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,3,45,8300,24900
2022-05-23,GA/2022-23/00114,FY2022-23,5,ACC-031,Laxmi Sirohi Super Market,Charthawal,SM03,Amit Saini,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8150,8150
2022-05-23,GA/2022-23/00115,FY2022-23,5,ACC-059,Balaji Garg Agencies,Purqazi,SM04,Pankaj Verma,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8150,8150
2022-05-23,GA/2022-23/00116,FY2022-23,5,ACC-066,Dhingra Marketing,Muzaffarnagar,SM01,Rakesh Kumar,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8300,8300
2022-05-23,GA/2022-23/00117,FY2022-23,5,ACC-068,Ganesh Saxena General Store,Shamli,SM01,Rakesh Kumar,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8150,8150
2022-05-23,GA/2022-23/00118,FY2022-23,5,ACC-101,Shri Ahuja Enterprises,Miranpur,SM04,Pankaj Verma,MSG-500-30,Madhusudan Ghee 500 ml,500 ml,1,15,8300,8300
2022-05-24,GA/2022-23/00119,FY2022-23,5,ACC-015,Wadhwa Super Market,Muzaffarnagar,SM01,Rakesh Kumar,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8150,8150
2022-05-24,GA/2022-23/00120,FY2022-23,5,ACC-041,Chopra Traders,Purqazi,SM04,Pankaj Verma,MSG-1L-15,Madhusudan Ghee 1 L,1 L,1,15,8150,8150
