invoice_date,invoice_no,account_code,sku,cartons,litres,rate_per_carton,sales_amount
2022-04-20,GA/2022-23/00046,ACC-038,MSG-1L-15,1,15,8100,8100
2022-04-20,GA/2022-23/00047,ACC-136,MSG-1L-15,1,15,8100,8100
2022-04-21,GA/2022-23/00048,ACC-001,MSG-1L-15,2,30,8100,16200
2022-04-21,GA/2022-23/00048,ACC-001,MSG-200-75,1,15,8400,8400
2022-04-21,GA/2022-23/00049,ACC-019,MSG-500-30,2,30,8250,16500
2022-04-21,GA/2022-23/00050,ACC-033,MSG-500-30,1,15,8250,8250
2022-04-21,GA/2022-23/00051,ACC-072,MSG-1L-15,1,15,8100,8100
2022-04-22,GA/2022-23/00052,ACC-009,MSG-1L-15,1,15,8100,8100
2022-04-22,GA/2022-23/00053,ACC-130,MSG-200-75,1,15,8400,8400
2022-04-23,GA/2022-23/00054,ACC-003,MSG-1L-15,2,30,8100,16200
2022-04-25,GA/2022-23/00055,ACC-011,MSG-500-30,1,15,8250,8250
2022-04-25,GA/2022-23/00056,ACC-013,MSG-1L-15,1,15,8100,8100
2022-04-25,GA/2022-23/00057,ACC-016,MSG-1L-15,1,15,8100,8100
2022-04-26,GA/2022-23/00058,ACC-012,MSG-500-30,1,15,8250,8250
2022-04-26,GA/2022-23/00059,ACC-022,MSG-1L-15,1,15,8100,8100
2022-04-26,GA/2022-23/00059,ACC-022,MSG-500-30,1,15,8250,8250
2022-04-27,GA/2022-23/00060,ACC-029,MSG-1L-15,1,15,8100,8100
2022-04-28,GA/2022-23/00061,ACC-025,MSG-1L-15,1,15,8100,8100
2022-04-28,GA/2022-23/00062,ACC-039,MSG-500-30,1,15,8250,8250
2022-04-28,GA/2022-23/00063,ACC-103,MSG-1L-15,1,15,8100,8100
2022-04-28,GA/2022-23/00063,ACC-103,MSG-500-30,2,30,8250,16500
2022-04-29,GA/2022-23/00064,ACC-046,MSG-500-30,1,15,8250,8250
2022-04-29,GA/2022-23/00065,ACC-049,MSG-1L-15,1,15,8100,8100
2022-04-29,GA/2022-23/00066,ACC-120,MSG-500-30,1,15,8250,8250
2022-04-29,GA/2022-23/00067,ACC-138,MSG-1L-15,1,15,8100,8100
2022-04-30,GA/2022-23/00068,ACC-105,MSG-1L-15,1,15,8100,8100
2022-04-30,GA/2022-23/00069,ACC-132,MSG-1L-15,2,30,8100,16200
2022-04-30,GA/2022-23/00069,ACC-132,MSG-500-30,1,15,8250,8250
2022-05-02,GA/2022-23/00070,ACC-008,MSG-1L-15,2,30,8150,16300
2022-05-02,GA/2022-23/00071,ACC-045,MSG-1L-15,1,15,8150,8150
2022-05-02,GA/2022-23/00072,ACC-046,MSG-500-30,1,15,8300,8300
2022-05-02,GA/2022-23/00073,ACC-133,MSG-500-30,1,15,8300,8300
2022-05-03,GA/2022-23/00074,ACC-017,MSG-1L-15,1,15,8150,8150
2022-05-03,GA/2022-23/00074,ACC-017,MSG-200-75,1,15,8450,8450
2022-05-03,GA/2022-23/00075,ACC-088,MSG-500-30,2,30,8300,16600
2022-05-03,GA/2022-23/00076,ACC-128,MSG-1L-15,1,15,8150,8150
2022-05-04,GA/2022-23/00077,ACC-090,MSG-200-75,1,15,8450,8450
2022-05-05,GA/2022-23/00078,ACC-109,MSG-1L-15,1,15,8150,8150
2022-05-06,GA/2022-23/00079,ACC-016,MSG-1L-15,1,15,8150,8150
2022-05-06,GA/2022-23/00080,ACC-106,MSG-1L-15,1,15,8150,8150
2022-05-06,GA/2022-23/00081,ACC-108,MSG-1L-15,1,15,8150,8150
2022-05-07,GA/2022-23/00082,ACC-006,MSG-1L-15,1,15,8150,8150
2022-05-07,GA/2022-23/00082,ACC-006,MSG-500-30,1,15,8300,8300
2022-05-07,GA/2022-23/00083,ACC-058,MSG-1L-15,1,15,8150,8150
2022-05-07,GA/2022-23/00084,ACC-081,MSG-500-30,1,15,8300,8300
2022-05-09,GA/2022-23/00085,ACC-032,MSG-1L-15,1,15,8150,8150
2022-05-09,GA/2022-23/00085,ACC-032,MSG-500-30,1,15,8300,8300
2022-05-09,GA/2022-23/00086,ACC-098,MSG-1L-15,1,15,8150,8150
2022-05-09,GA/2022-23/00087,ACC-105,MSG-1L-15,1,15,8150,8150
2022-05-10,GA/2022-23/00088,ACC-042,MSG-1L-15,1,15,8150,8150
2022-05-10,GA/2022-23/00089,ACC-062,MSG-1L-15,2,30,8150,16300
2022-05-11,GA/2022-23/00090,ACC-019,MSG-1L-15,1,15,8150,8150
2022-05-11,GA/2022-23/00090,ACC-019,MSG-500-30,1,15,8300,8300
2022-05-12,GA/2022-23/00091,ACC-005,MSG-1L-15,2,30,8150,16300
2022-05-12,GA/2022-23/00092,ACC-072,MSG-1L-15,1,15,8150,8150
2022-05-13,GA/2022-23/00093,ACC-018,MSG-1L-15,2,30,8150,16300
2022-05-13,GA/2022-23/00094,ACC-135,MSG-500-30,1,15,8300,8300
2022-05-14,GA/2022-23/00095,ACC-021,MSG-1L-15,1,15,8150,8150
2022-05-16,GA/2022-23/00096,ACC-003,MSG-1L-15,1,15,8150,8150
2022-05-16,GA/2022-23/00096,ACC-003,MSG-500-30,1,15,8300,8300
2022-05-16,GA/2022-23/00097,ACC-038,MSG-1L-15,1,15,8150,8150
2022-05-16,GA/2022-23/00098,ACC-044,MSG-1L-15,1,15,8150,8150
2022-05-16,GA/2022-23/00099,ACC-083,MSG-500-30,1,15,8300,8300
2022-05-16,GA/2022-23/00100,ACC-134,MSG-1L-15,1,15,8150,8150
2022-05-17,GA/2022-23/00101,ACC-010,MSG-1L-15,2,30,8150,16300
2022-05-17,GA/2022-23/00102,ACC-022,MSG-200-75,1,15,8450,8450
2022-05-17,GA/2022-23/00103,ACC-091,MSG-1L-15,1,15,8150,8150
2022-05-17,GA/2022-23/00104,ACC-119,MSG-1L-15,1,15,8150,8150
2022-05-18,GA/2022-23/00105,ACC-001,MSG-500-30,2,30,8300,16600
2022-05-18,GA/2022-23/00106,ACC-014,MSG-200-75,1,15,8450,8450
2022-05-18,GA/2022-23/00107,ACC-047,MSG-1L-15,2,30,8150,16300
2022-05-18,GA/2022-23/00108,ACC-049,MSG-1L-15,2,30,8150,16300
2022-05-18,GA/2022-23/00109,ACC-097,MSG-1L-15,2,30,8150,16300
2022-05-19,GA/2022-23/00110,ACC-112,MSG-1L-15,1,15,8150,8150
2022-05-20,GA/2022-23/00111,ACC-001,MSG-500-30,3,45,8300,24900
2022-05-23,GA/2022-23/00112,ACC-002,MSG-500-30,2,30,8300,16600
2022-05-23,GA/2022-23/00113,ACC-007,MSG-500-30,3,45,8300,24900
2022-05-23,GA/2022-23/00114,ACC-031,MSG-1L-15,1,15,8150,8150
2022-05-23,GA/2022-23/00115,ACC-059,MSG-1L-15,1,15,8150,8150
2022-05-23,GA/2022-23/00116,ACC-066,MSG-500-30,1,15,8300,8300
2022-05-23,GA/2022-23/00117,ACC-068,MSG-1L-15,1,15,8150,8150
2022-05-23,GA/2022-23/00118,ACC-101,MSG-500-30,1,15,8300,8300
2022-05-24,GA/2022-23/00119,ACC-015,MSG-1L-15,1,15,8150,8150
2022-05-24,GA/2022-23/00120,ACC-041,MSG-1L-15,1,15,8150,8150
2022-05-25,GA/2022-23/00121,ACC-099,MSG-1L-15,1,15,8150,8150
2022-05-25,GA/2022-23/00121,ACC-099,MSG-500-30,1,15,8300,8300
2022-05-26,GA/2022-23/00122,ACC-004,MSG-200-75,1,15,8450,8450
2022-05-26,GA/2022-23/00122,ACC-004,MSG-500-30,2,30,8300,16600
2022-05-26,GA/2022-23/00123,ACC-009,MSG-1L-15,2,30,8150,16300
2022-05-26,GA/2022-23/00124,ACC-056,MSG-1L-15,1,15,8150,8150
2022-05-27,GA/2022-23/00125,ACC-033,MSG-1L-15,1,15,8150,8150
2022-05-27,GA/2022-23/00126,ACC-087,MSG-1L-15,1,15,8150,8150
2022-05-30,GA/2022-23/00127,ACC-138,MSG-1L-15,1,15,8150,8150
2022-05-31,GA/2022-23/00128,ACC-012,MSG-200-75,1,15,8450,8450
2022-06-02,GA/2022-23/00129,ACC-013,MSG-1L-15,1,15,8150,8150
2022-06-02,GA/2022-23/00130,ACC-039,MSG-500-30,1,15,8300,8300
2022-06-02,GA/2022-23/00131,ACC-044,MSG-200-75,1,15,8450,8450
2022-06-02,GA/2022-23/00131,ACC-044,MSG-500-30,1,15,8300,8300
2022-06-02,GA/2022-23/00132,ACC-083,MSG-200-75,1,15,8450,8450
2022-06-03,GA/2022-23/00133,ACC-004,MSG-1L-15,2,30,8150,16300
2022-06-03,GA/2022-23/00134,ACC-050,MSG-500-30,1,15,8300,8300
2022-06-03,GA/2022-23/00135,ACC-097,MSG-500-30,1,15,8300,8300
2022-06-03,GA/2022-23/00136,ACC-116,MSG-1L-15,1,15,8150,8150
2022-06-04,GA/2022-23/00137,ACC-001,MSG-1L-15,1,15,8150,8150
2022-06-04,GA/2022-23/00137,ACC-001,MSG-200-75,1,15,8450,8450
2022-06-04,GA/2022-23/00138,ACC-046,MSG-500-30,1,15,8300,8300
2022-06-06,GA/2022-23/00139,ACC-003,MSG-1L-15,2,30,8150,16300
2022-06-06,GA/2022-23/00139,ACC-003,MSG-200-75,1,15,8450,8450
2022-06-06,GA/2022-23/00140,ACC-032,MSG-1L-15,1,15,8150,8150
2022-06-06,GA/2022-23/00141,ACC-048,MSG-200-75,1,15,8450,8450
2022-06-06,GA/2022-23/00142,ACC-074,MSG-500-30,1,15,8300,8300
2022-06-06,GA/2022-23/00143,ACC-075,MSG-1L-15,1,15,8150,8150
2022-06-07,GA/2022-23/00144,ACC-023,MSG-1L-15,2,30,8150,16300
2022-06-08,GA/2022-23/00145,ACC-020,MSG-1L-15,1,15,8150,8150
2022-06-08,GA/2022-23/00146,ACC-029,MSG-500-30,1,15,8300,8300
2022-06-08,GA/2022-23/00147,ACC-036,MSG-1L-15,1,15,8150,8150
2022-06-08,GA/2022-23/00148,ACC-081,MSG-1L-15,1,15,8150,8150
2022-06-09,GA/2022-23/00149,ACC-002,MSG-500-30,2,30,8300,16600
2022-06-09,GA/2022-23/00150,ACC-033,MSG-1L-15,1,15,8150,8150
2022-06-09,GA/2022-23/00151,ACC-133,MSG-1L-15,1,15,8150,8150
2022-06-13,GA/2022-23/00152,ACC-017,MSG-1L-15,1,15,8150,8150
2022-06-13,GA/2022-23/00153,ACC-058,MSG-500-30,1,15,8300,8300
2022-06-13,GA/2022-23/00154,ACC-106,MSG-200-75,1,15,8450,8450
2022-06-14,GA/2022-23/00155,ACC-021,MSG-200-75,1,15,8450,8450
2022-06-14,GA/2022-23/00156,ACC-041,MSG-200-75,1,15,8450,8450
2022-06-14,GA/2022-23/00157,ACC-082,MSG-1L-15,1,15,8150,8150
2022-06-14,GA/2022-23/00158,ACC-084,MSG-200-75,1,15,8450,8450
2022-06-14,GA/2022-23/00159,ACC-099,MSG-1L-15,1,15,8150,8150
2022-06-14,GA/2022-23/00160,ACC-115,MSG-500-30,1,15,8300,8300
2022-06-15,GA/2022-23/00161,ACC-014,MSG-200-75,1,15,8450,8450
2022-06-16,GA/2022-23/00162,ACC-108,MSG-200-75,1,15,8450,8450
2022-06-18,GA/2022-23/00163,ACC-065,MSG-500-30,1,15,8300,8300
2022-06-20,GA/2022-23/00164,ACC-004,MSG-200-75,3,45,8450,25350
2022-06-20,GA/2022-23/00165,ACC-011,MSG-200-75,1,15,8450,8450
2022-06-20,GA/2022-23/00165,ACC-011,MSG-500-30,1,15,8300,8300
2022-06-20,GA/2022-23/00166,ACC-072,MSG-1L-15,1,15,8150,8150
2022-06-21,GA/2022-23/00167,ACC-068,MSG-200-75,1,15,8450,8450
2022-06-22,GA/2022-23/00168,ACC-019,MSG-1L-15,1,15,8150,8150
2022-06-22,GA/2022-23/00169,ACC-054,MSG-500-30,1,15,8300,8300
2022-06-23,GA/2022-23/00170,ACC-006,MSG-500-30,2,30,8300,16600
2022-06-23,GA/2022-23/00171,ACC-066,MSG-1L-15,1,15,8150,8150
2022-06-23,GA/2022-23/00172,ACC-112,MSG-200-75,1,15,8450,8450
2022-06-23,GA/2022-23/00173,ACC-132,MSG-1L-15,1,15,8150,8150
2022-06-24,GA/2022-23/00174,ACC-139,MSG-1L-15,1,15,8150,8150
2022-06-25,GA/2022-23/00175,ACC-049,MSG-1L-15,1,15,8150,8150
2022-06-25,GA/2022-23/00176,ACC-061,MSG-500-30,1,15,8300,8300
2022-06-27,GA/2022-23/00177,ACC-007,MSG-500-30,2,30,8300,16600
2022-06-27,GA/2022-23/00178,ACC-018,MSG-1L-15,1,15,8150,8150
2022-06-27,GA/2022-23/00179,ACC-031,MSG-200-75,1,15,8450,8450
2022-06-27,GA/2022-23/00180,ACC-107,MSG-1L-15,1,15,8150,8150
2022-06-28,GA/2022-23/00181,ACC-051,MSG-1L-15,1,15,8150,8150
2022-06-28,GA/2022-23/00181,ACC-051,MSG-500-30,1,15,8300,8300
2022-06-29,GA/2022-23/00182,ACC-010,MSG-1L-15,1,15,8150,8150
2022-06-30,GA/2022-23/00183,ACC-005,MSG-200-75,2,30,8450,16900
2022-06-30,GA/2022-23/00183,ACC-005,MSG-500-30,2,30,8300,16600
2022-06-30,GA/2022-23/00184,ACC-008,MSG-1L-15,2,30,8150,16300
2022-07-01,GA/2022-23/00185,ACC-098,MSG-500-30,1,15,8300,8300
2022-07-02,GA/2022-23/00186,ACC-018,MSG-1L-15,1,15,8150,8150
2022-07-02,GA/2022-23/00187,ACC-032,MSG-500-30,2,30,8300,16600
2022-07-04,GA/2022-23/00188,ACC-017,MSG-200-75,1,15,8450,8450
2022-07-04,GA/2022-23/00189,ACC-042,MSG-500-30,1,15,8300,8300
2022-07-04,GA/2022-23/00190,ACC-049,MSG-500-30,1,15,8300,8300
2022-07-04,GA/2022-23/00191,ACC-085,MSG-1L-15,2,30,8150,16300
2022-07-05,GA/2022-23/00192,ACC-014,MSG-1L-15,1,15,8150,8150
2022-07-05,GA/2022-23/00193,ACC-068,MSG-1L-15,1,15,8150,8150
2022-07-05,GA/2022-23/00194,ACC-118,MSG-1L-15,1,15,8150,8150
2022-07-06,GA/2022-23/00195,ACC-094,MSG-1L-15,1,15,8150,8150
2022-07-06,GA/2022-23/00196,ACC-102,MSG-500-30,1,15,8300,8300
2022-07-07,GA/2022-23/00197,ACC-020,MSG-500-30,1,15,8300,8300
2022-07-07,GA/2022-23/00198,ACC-029,MSG-1L-15,1,15,8150,8150
2022-07-07,GA/2022-23/00198,ACC-029,MSG-500-30,1,15,8300,8300
2022-07-08,GA/2022-23/00199,ACC-066,MSG-1L-15,2,30,8150,16300
2022-07-09,GA/2022-23/00200,ACC-015,MSG-1L-15,2,30,8150,16300
2022-07-11,GA/2022-23/00201,ACC-012,MSG-500-30,2,30,8300,16600
2022-07-11,GA/2022-23/00202,ACC-040,MSG-1L-15,1,15,8150,8150
2022-07-11,GA/2022-23/00203,ACC-048,MSG-1L-15,1,15,8150,8150
2022-07-11,GA/2022-23/00204,ACC-058,MSG-500-30,1,15,8300,8300
2022-07-11,GA/2022-23/00205,ACC-091,MSG-1L-15,1,15,8150,8150
2022-07-11,GA/2022-23/00206,ACC-099,MSG-1L-15,1,15,8150,8150
2022-07-12,GA/2022-23/00207,ACC-006,MSG-1L-15,2,30,8150,16300
2022-07-12,GA/2022-23/00208,ACC-019,MSG-1L-15,1,15,8150,8150
2022-07-13,GA/2022-23/00209,ACC-114,MSG-200-75,1,15,8450,8450
2022-07-13,GA/2022-23/00210,ACC-128,MSG-1L-15,1,15,8150,8150
2022-07-14,GA/2022-23/00211,ACC-008,MSG-1L-15,2,30,8150,16300
2022-07-15,GA/2022-23/00212,ACC-039,MSG-1L-15,1,15,8150,8150
2022-07-15,GA/2022-23/00213,ACC-056,MSG-1L-15,1,15,8150,8150
2022-07-15,GA/2022-23/00214,ACC-135,MSG-200-75,1,15,8450,8450
2022-07-16,GA/2022-23/00215,ACC-001,MSG-1L-15,2,30,8150,16300
2022-07-16,GA/2022-23/00215,ACC-001,MSG-200-75,1,15,8450,8450
2022-07-16,GA/2022-23/00216,ACC-044,MSG-1L-15,1,15,8150,8150
2022-07-16,GA/2022-23/00217,ACC-142,MSG-500-30,1,15,8300,8300
2022-07-18,GA/2022-23/00218,ACC-003,MSG-1L-15,3,45,8150,24450
2022-07-18,GA/2022-23/00219,ACC-028,MSG-500-30,1,15,8300,8300
2022-07-18,GA/2022-23/00220,ACC-062,MSG-1L-15,1,15,8150,8150
2022-07-18,GA/2022-23/00221,ACC-079,MSG-1L-15,1,15,8150,8150
2022-07-18,GA/2022-23/00222,ACC-100,MSG-1L-15,1,15,8150,8150
2022-07-18,GA/2022-23/00223,ACC-119,MSG-1L-15,1,15,8150,8150
2022-07-19,GA/2022-23/00224,ACC-025,MSG-1L-15,1,15,8150,8150
2022-07-21,GA/2022-23/00225,ACC-004,MSG-1L-15,2,30,8150,16300
2022-07-21,GA/2022-23/00226,ACC-092,MSG-200-75,1,15,8450,8450
2022-07-22,GA/2022-23/00227,ACC-041,MSG-500-30,1,15,8300,8300
2022-07-22,GA/2022-23/00228,ACC-117,MSG-500-30,1,15,8300,8300
2022-07-23,GA/2022-23/00229,ACC-002,MSG-1L-15,3,45,8150,24450
2022-07-23,GA/2022-23/00230,ACC-110,MSG-200-75,1,15,8450,8450
2022-07-25,GA/2022-23/00231,ACC-031,MSG-200-75,1,15,8450,8450
2022-07-25,GA/2022-23/00232,ACC-054,MSG-1L-15,1,15,8150,8150
2022-07-25,GA/2022-23/00233,ACC-132,MSG-1L-15,1,15,8150,8150
2022-07-26,GA/2022-23/00234,ACC-063,MSG-1L-15,2,30,8150,16300
2022-07-26,GA/2022-23/00235,ACC-081,MSG-500-30,1,15,8300,8300
2022-07-26,GA/2022-23/00236,ACC-138,MSG-1L-15,1,15,8150,8150
2022-07-27,GA/2022-23/00237,ACC-009,MSG-1L-15,1,15,8150,8150
2022-07-27,GA/2022-23/00238,ACC-016,MSG-500-30,2,30,8300,16600
2022-07-28,GA/2022-23/00239,ACC-005,MSG-500-30,3,45,8300,24900
2022-07-28,GA/2022-23/00240,ACC-023,MSG-1L-15,1,15,8150,8150
2022-07-29,GA/2022-23/00241,ACC-007,MSG-1L-15,1,15,8150,8150
2022-07-29,GA/2022-23/00241,ACC-007,MSG-200-75,1,15,8450,8450
2022-07-29,GA/2022-23/00242,ACC-010,MSG-1L-15,1,15,8150,8150
2022-07-29,GA/2022-23/00243,ACC-123,MSG-500-30,1,15,8300,8300
2022-07-30,GA/2022-23/00244,ACC-021,MSG-1L-15,1,15,8150,8150
2022-07-30,GA/2022-23/00245,ACC-036,MSG-200-75,1,15,8450,8450
2022-07-30,GA/2022-23/00246,ACC-074,MSG-500-30,1,15,8300,8300
2022-07-30,GA/2022-23/00247,ACC-097,MSG-1L-15,1,15,8150,8150
2022-07-30,GA/2022-23/00248,ACC-144,MSG-1L-15,1,15,8150,8150
2022-08-01,GA/2022-23/00249,ACC-011,MSG-200-75,1,15,8450,8450
2022-08-01,GA/2022-23/00250,ACC-020,MSG-1L-15,1,15,8150,8150
2022-08-01,GA/2022-23/00251,ACC-128,MSG-1L-15,2,30,8150,16300
2022-08-02,GA/2022-23/00252,ACC-030,MSG-500-30,1,15,8300,8300
2022-08-04,GA/2022-23/00253,ACC-028,MSG-1L-15,1,15,8150,8150
2022-08-04,GA/2022-23/00254,ACC-040,MSG-200-75,1,15,8450,8450
2022-08-04,GA/2022-23/00255,ACC-107,MSG-500-30,2,30,8300,16600
2022-08-05,GA/2022-23/00256,ACC-019,MSG-1L-15,1,15,8150,8150
2022-08-05,GA/2022-23/00257,ACC-031,MSG-1L-15,1,15,8150,8150
2022-08-05,GA/2022-23/00257,ACC-031,MSG-200-75,1,15,8450,8450
2022-08-05,GA/2022-23/00258,ACC-059,MSG-200-75,1,15,8450,8450
2022-08-05,GA/2022-23/00259,ACC-103,MSG-1L-15,1,15,8150,8150
2022-08-06,GA/2022-23/00260,ACC-005,MSG-1L-15,3,45,8150,24450
2022-08-08,GA/2022-23/00261,ACC-009,MSG-1L-15,2,30,8150,16300
2022-08-08,GA/2022-23/00262,ACC-027,MSG-1L-15,1,15,8150,8150
2022-08-08,GA/2022-23/00263,ACC-041,MSG-1L-15,1,15,8150,8150
2022-08-08,GA/2022-23/00264,ACC-048,MSG-500-30,1,15,8300,8300
2022-08-08,GA/2022-23/00265,ACC-100,MSG-500-30,1,15,8300,8300
2022-08-08,GA/2022-23/00266,ACC-101,MSG-1L-15,1,15,8150,8150
2022-08-08,GA/2022-23/00266,ACC-101,MSG-200-75,1,15,8450,8450
2022-08-08,GA/2022-23/00267,ACC-118,MSG-500-30,1,15,8300,8300
2022-08-09,GA/2022-23/00268,ACC-093,MSG-1L-15,1,15,8150,8150
2022-08-10,GA/2022-23/00269,ACC-008,MSG-1L-15,2,30,8150,16300
2022-08-10,GA/2022-23/00270,ACC-022,MSG-1L-15,1,15,8150,8150
2022-08-10,GA/2022-23/00271,ACC-123,MSG-200-75,1,15,8450,8450
2022-08-10,GA/2022-23/00271,ACC-123,MSG-500-30,1,15,8300,8300
2022-08-11,GA/2022-23/00272,ACC-007,MSG-1L-15,3,45,8150,24450
2022-08-11,GA/2022-23/00273,ACC-091,MSG-200-75,1,15,8450,8450
2022-08-11,GA/2022-23/00274,ACC-094,MSG-500-30,1,15,8300,8300
2022-08-12,GA/2022-23/00275,ACC-018,MSG-500-30,2,30,8300,16600
2022-08-12,GA/2022-23/00276,ACC-136,MSG-200-75,1,15,8450,8450
2022-08-15,GA/2022-23/00277,ACC-016,MSG-1L-15,1,15,8150,8150
2022-08-15,GA/2022-23/00278,ACC-017,MSG-200-75,1,15,8450,8450
2022-08-15,GA/2022-23/00279,ACC-114,MSG-500-30,1,15,8300,8300
2022-08-15,GA/2022-23/00280,ACC-115,MSG-1L-15,1,15,8150,8150
2022-08-15,GA/2022-23/00281,ACC-131,MSG-1L-15,1,15,8150,8150
2022-08-17,GA/2022-23/00282,ACC-032,MSG-1L-15,1,15,8150,8150
2022-08-17,GA/2022-23/00282,ACC-032,MSG-200-75,1,15,8450,8450
2022-08-18,GA/2022-23/00283,ACC-014,MSG-1L-15,1,15,8150,8150
2022-08-18,GA/2022-23/00284,ACC-026,MSG-200-75,1,15,8450,8450
2022-08-19,GA/2022-23/00285,ACC-003,MSG-200-75,2,30,8450,16900
2022-08-19,GA/2022-23/00285,ACC-003,MSG-500-30,2,30,8300,16600
2022-08-19,GA/2022-23/00286,ACC-004,MSG-1L-15,1,15,8150,8150
2022-08-19,GA/2022-23/00286,ACC-004,MSG-200-75,1,15,8450,8450
2022-08-19,GA/2022-23/00287,ACC-006,MSG-1L-15,2,30,8150,16300
2022-08-19,GA/2022-23/00288,ACC-119,MSG-500-30,1,15,8300,8300
2022-08-20,GA/2022-23/00289,ACC-004,MSG-1L-15,3,45,8150,24450
2022-08-22,GA/2022-23/00290,ACC-012,MSG-1L-15,2,30,8150,16300
2022-08-22,GA/2022-23/00291,ACC-050,MSG-1L-15,1,15,8150,8150
2022-08-22,GA/2022-23/00291,ACC-050,MSG-500-30,1,15,8300,8300
2022-08-23,GA/2022-23/00292,ACC-084,MSG-1L-15,1,15,8150,8150
2022-08-24,GA/2022-23/00293,ACC-025,MSG-1L-15,1,15,8150,8150
2022-08-24,GA/2022-23/00294,ACC-046,MSG-1L-15,1,15,8150,8150
