account_code,account_name,city,salesman_code
ACC-109,Laxmi Goel Traders,Purqazi,SM04
ACC-110,Laxmi Kansal & Sons,Kairana,SM05
ACC-111,Dubey & Sons,Kairana,SM05
ACC-112,Om Goyal Kirana Store,Muzaffarnagar,SM01
ACC-113,Singla Enterprises,Khatauli,SM02
ACC-114,Sirohi Marketing,Muzaffarnagar,SM01
ACC-115,Sethi Super Market,Budhana,SM02
ACC-116,Shree Singla & Company,Miranpur,SM04
ACC-117,Shri Khandelwal Sales Corporation,Deoband,SM05
ACC-118,Laxmi Rana & Sons,Budhana,SM02
ACC-119,Solanki Dairy,Deoband,SM05
ACC-120,Ganesh Kansal Provisions,Muzaffarnagar,SM01
ACC-121,New Yadav Trading Co.,Miranpur,SM04
ACC-122,Balaji Agarwal Traders,Miranpur,SM04
ACC-123,Ganesh Goel Distributors,Miranpur,SM04
ACC-124,Shree Garg Trading Co.,Muzaffarnagar,SM01
ACC-125,Balaji Tandon Provisions,Khatauli,SM02
ACC-126,Bhatia General Store,Miranpur,SM04
ACC-127,Ganesh Mishra Marketing,Charthawal,SM03
ACC-128,Shree Saxena General Store,Deoband,SM05
ACC-129,Maheshwari & Sons,Miranpur,SM04
ACC-130,Maa Nagpal & Company,Deoband,SM05
ACC-131,Jai Yadav Traders,Shamli,SM01
ACC-132,Shri Bhardwaj Sales Corporation,Miranpur,SM04
ACC-133,New Singla Stores,Shamli,SM01
ACC-134,Jai Wadhwa Sales Corporation,Kairana,SM05
ACC-135,Agarwal Traders,Khatauli,SM02
ACC-136,Shree Khandelwal Distributors,Jansath,SM03
ACC-137,Jai Solanki Marketing,Charthawal,SM03
ACC-138,Ganesh Gupta Trading Co.,Muzaffarnagar,SM01
ACC-139,Goel Trading Co.,Muzaffarnagar,SM01
ACC-140,Laxmi Saxena Kirana Store,Kairana,SM05
ACC-141,Shri Wadhwa Sales Corporation,Muzaffarnagar,SM01
ACC-142,Om Srivastava & Company,Kairana,SM05
ACC-143,Garg Marketing,Muzaffarnagar,SM01
ACC-144,Shree Ahuja Provisions,Shamli,SM01
ACC-145,Nagpal Kirana Store,Budhana,SM02
